class,files
about-content,metodologia.html
about-project,metodologia.html
back-btn,hiragana/a.html; metodologia.html
bg-pattern,hiragana/a.html
btn-download,index.html
btn-explore,index.html
char-content,hiragana/a.html
char-display,hiragana/a.html
char-footer,hiragana/a.html
char-header,hiragana/a.html
char-info,hiragana/a.html
char-overview,hiragana/a.html
character-page,hiragana/a.html
corner-cell,index.html
cross-references,hiragana/a.html
cultural-context,hiragana/a.html
download-section,index.html
empty,index.html
footer-credit,hiragana/a.html
header-content,index.html
header-links,index.html
header-note,index.html
hero-char,hiragana/a.html
highlight,hiragana/a.html
hiragana-page,hiragana/a.html
is-disabled,index.html
ita,index.html
kana,index.html
kana-cell,index.html
kana-table,index.html
legend-hiragana,index.html
legend-ita,index.html
legend-romaji,index.html
main-header,index.html
main-kana,hiragana/a.html
page-header,metodologia.html
phonetic-guide,hiragana/a.html
pronunciation,hiragana/a.html
ref-card,hiragana/a.html
ref-char,hiragana/a.html
ref-desc,hiragana/a.html
ref-grid,hiragana/a.html
ref-label,hiragana/a.html
romaji,hiragana/a.html; index.html
row-label,index.html
stroke-count,hiragana/a.html
stroke-info,hiragana/a.html
stroke-note,hiragana/a.html
stroke-order,hiragana/a.html
subtitle,metodologia.html
table-container,index.html
table-intro,index.html
table-wrapper,index.html
unified,index.html
unified-title,index.html
word-card,hiragana/a.html
word-jp,hiragana/a.html
word-meaning,hiragana/a.html
word-note,hiragana/a.html
word-romaji,hiragana/a.html
words-grid,hiragana/a.html
words-section,hiragana/a.html
